id;updated;type;band;mode;network;network_id;district;call;city;channel;output;tx_shift;access;status;lat;lng;locator;masl;magl;watt_pep;dir;ant;backup
333;"2020-05-04";"Repeater";2;"FM";"";"";6;"SK6MA/R";"Tidaholm / Hökensås";"RV51";145.6375;-0.6;118.8;"QRV";58.13;14.042;"JO78AD";"";"";"";"";"";0
334;"2024-04-16";"Repeater";2;"FM";"SvxReflector";"";7;"SK7REE";"Söderåsen / Stenestad";"RV52";145.65;-0.6;"";"QRV";56.0517;13.1047;"JO66NB";220;35;25;"SE";"4x dipole";1
335;"2026-04-25";"Link";2;"FM";"AllStarLink";659900;7;"SK7REE";"Söderåsen / Stenestad";"";145.2375;"Simplex";79.7;"QRV";56.0517;13.1047;"JO66NB";210;25;50;"SE";"GP";0
343;"2021-09-07";"Beacon";"6cm";"CW";"";"";7;"SM7DTE/B";"Gärsnäs";"";5760.841;"";"";"QRV";55.5611;14.2808;"JO75DN";86;8;40;"Omni";"";2
344;"2021-09-07";"Beacon";3;"CW";"";"";7;"SM7DTE/B";"Gärsnäs";"";10368.841;"";"";"QRV";55.5611;14.2808;"JO75DN";86;8;40;"Omni";"";2
356;"2023-09-19";"Repeater";2;"FM";"SvxReflector / Echolink";353167;7;"SK7RN/R";"Borgholm";"RV53";145.6625;-0.6;"1750 / 79.7 / DTMF *";"QRV";56.8406;16.6658;"JO86HU";56;20;20;"Omni";"4x Dipol";1
357;"2023-09-19";"Repeater";2;"FM";"SvxReflector / Echolink";"";7;"SK7RN/R";"Mörbylånga";"RV50";145.625;-0.6;"1750 / 79.7 / DTMF *";"QRV";56.5151;16.4392;"JO86FM";70;24;60;"Omni";"4x Dipol";1
358;"2020-12-03";"Repeater";2;"FM";"SvxReflector / Echolink";353167;7;"SK7RN/R";"Böda";"RV60";145.75;-0.6;"1750 / 79.7 / DTMF *";"QRV";57.2629;17.0297;"JO87MG";51;40;12;"Omni";"4x Dipol";1
360;"2025-08-06";"Repeater";2;"FM";"";"";5;"SK5BN/R";"Norrköping / Kolmården";"RV48";145.6;-0.6;"1750 / 82.5 / DTMF 5";"QRV";58.6875;16.43;"JO88FQ";117;65;80;"";"";0
361;"2022-03-20";"Repeater";70;"FM";"SvxReflector";"";5;"SK5BN/R";"Norrköping / Östra Eneby";"RU368";434.6;-2;"1750 / 82.5 / DTMF 5";"QRV";58.6042;16.125;"JO88BO";"";"";22;"";"";0
362;"2025-12-19";"Repeater";70;"FM";"SvxReflector";"";5;"SK5LF/R";"Linköping";"RU386";434.825;-2;"82.5 / DTMF 5";"QRV";58.3995;15.6381;"JO78TJ";82;"";10;"";"Aerial OY AV1914-H (4-stack)";0
363;"2024-11-08";"Repeater";2;"FM";"";"";7;"SK7RFJ";"Karlskrona";"RV60";145.75;-0.6;"1750 / 156.7";"QRV";56.2;15.62;"JO76TE";"";"";10;"Omni";"4 stackade dipoler";1
364;"2017-11-26";"Repeater";70;"FM";"";"";7;"SK7FK/R";"Karlskrona";"RU380";434.75;-2;1750;"QRV";56.2;15.62;"JO76TE";20;90;"";"270°";"Aerial OY AV1914-H (4 stack 10dBi)";0
365;"2024-06-06";"Repeater";2;"FM";"Echolink";700259;4;"SK4RGO";"Orsa / Grönklitt";"RV60";145.75;-0.6;"1750 / 85.4";"QRV";61.2168;14.5388;"JP71GF";"";"";"";"";"";0
382;"2017-01-05";"Repeater";70;"DMR";"";"";5;"SA5BJM";"Uppsala / Fjuckby";"RU361";434.5125;-2;"CC 1";"QRV";59.9774;17.594;"JO89TX";"";"";"";"";"4x Dipole";0
383;"2017-12-26";"Repeater";70;"FM";"";"";6;"SM6UXW/R";"Ulricehamn";"RU374";434.675;-2;118.8;"QRV";57.7923;13.4236;"JO67RT";"";"";"";"";"";0
385;"2020-06-05";"Hotspot";70;"D-Star";"D-RATS";"";6;"SK6GB-D";"Mölndal";"";433.725;"Simplex";"DV Carrier";"QRV";57.6672;12.037;"JO67AQ";123;4;5;"Omni";"Diamond V-2000";2
386;"2020-06-05";"Hotspot";2;"D-Star";"D-RATS";"";6;"SK6GB-D";"Mölndal";"";144.825;"Simplex";"DV Carrier";"QRV";57.6672;12.037;"JO67AQ";123;3;15;"Omni";"5/8";2
387;"2019-12-20";"Repeater";70;"DMR";"Brandmeister";240770;7;"SK7HW";"Växjö";"RU376";434.7;-2;"CC 7";"QRV";56.8666;14.8833;"JO76KU";"";224;25;"";"";0
389;"2020-05-04";"Hotspot";2;"D-Star";"ircDDB";"";6;"SK6MA-C";"Hjo";"";145.2125;"Duplex 0";"DV Carrier";"QRV";58.3014;14.2691;"JO78DH";"";"";"";"";"";0
390;"2025-04-08";"Repeater";70;"DMR / D-Star";"Brandmeister / ircDDB";240026;7;"SK7RGM";"Olofström / Boafallsbacke";"RU377";434.7125;-2;"CC 7";"QRV";56.2292;14.4583;"JO76FF";215;35;23;"Omni";"Aerial Oy 4x dipol";1
391;"2016-05-08";"Hotspot";2;"D-Star";"ircDDB";"";7;"SG7WDL-C";"Eneryda";"";145.2125;"Duplex 0";"DV Carrier";"QRV";56.7037;14.3349;"JO76EQ";159;6;20;"";"Diamond X-50";0
392;"2020-11-26";"Hotspot";2;"D-Star";"ircDDB";"";7;"SG7HTP-C";"Sölvesborg";"";145.2375;"Simplex";"DV Carrier";"QRV";56.0428;14.5673;"JO76GB";6;7;20;"Omni";"Diamond X-30";2
393;"2016-10-14";"Hotspot";2;"D-Star";"ircDDB";"";7;"SK7RRV-C";"Lönsboda";"";144.8875;"Duplex 0";"DV Carrier";"QRV";56.3952;14.3266;"JO76DJ";140;12;20;"Omni";"Diamond X-300";0
395;"2022-10-19";"Repeater";70;"D-Star";"ircDDB";"";6;"SK6SA-B";"Guldheden";"RU361";434.5125;-2;"DV Carrier";"QRV";57.6785;11.9787;"JO57XQ";120;50;"";"";"";0
396;"2022-05-08";"Repeater";2;"DMR / D-Star";"Brandmeister / ircDDB";240022;7;"SK7RNQ";"Gladsax";"RV46";145.575;-0.6;"CC 7 / SK7RNQ-C";"QRV";55.5611;14.2808;"JO75DN";85;45;150;"";"Aerial OY 4-stack";0
397;"2017-05-22";"Hotspot";70;"D-Star";"ircDDB";"";6;"SG6JWU-B";"Halmstad";"";433.475;"Duplex 0";"DV Carrier";"QRV";56.6431;12.9321;"JO66LP";28;18;10;"Omni";"Dipole";0
398;"2025-08-18";"Repeater";70;"FM / DMR / D-Star";"Brandmeister";240031;6;"SK6RKG";"Halmstad";"RU394";434.925;-2;114.8;"QRV";56.7614;13.0505;"JO66MS";162;55;25;"Omni";"Aerial OY";2
